ID,name_product,price_product,number_purchaser,name_store,address
1,小熊帽子秋冬女围巾手套一体连帽冬季围脖可爱保暖毛绒冬天三件套,41.00元,5万+人收货,型公馆服饰旗舰店,江苏
2,帽子男士冬天护耳防风雷锋帽男冬季棉帽防寒面罩骑车电瓶车头套女,38.00元,4万+人收货,柔立旗舰店,浙江
3,小熊帽子秋冬女围巾手套一体连帽冬季围脖可爱保暖毛绒冬天三件套,29.90元,4万+人收货,包牛旗舰店,浙江
4,COSO儿童帽子秋冬季加绒加厚围巾手套一体男童女童宝宝保暖三件套,28.90元,3万+人收货,COSO旗舰店,浙江
5,帽子男士秋冬潮毛线帽男款保暖百搭冷帽宽松大头围显脸小针织帽男,26.00元,3万+人收货,贝纳登旗舰店,浙江
6,大头围粗毛线帽子女秋冬季宽松保暖堆堆冷帽大脸显脸小针织护耳帽,36.00元,3万+人收货,卡菲翔旗舰店,浙江
7,帽子男士冬季防寒面罩围脖护耳套头帽骑行摩托车头套防风保暖神器,19.80元,3万+人收货,纪梵保罗旗舰店,浙江
8,帽子女士冬季2023新款保暖骑车防风面罩防寒加厚护颈脖套围脖一体,18.80元,3万+人收货,画蔻旗舰店,浙江
9,啄木鸟中老年帽子男冬季老人保暖爸爸爷爷加绒加厚护耳针织毛线帽,26.90元,3万+人收货,啄木鸟纳众专卖店,浙江
10,毛绒小熊帽子围巾一体女款2023新款冬季手套连帽围脖骑行三件套暖,25.00元,2万+人收货,卡兰薇旗舰店,浙江
11,李宁正品帽子男士冬季针织帽男防寒保暖加绒毛线帽女运动新款男帽,38.90元,2万+人收货,李宁利都全时专卖店,广东
12,帽子秋冬季男女毛线帽旅游保暖神器针织头套防风面罩围巾一体护耳,3.90元,2万+人收货,蘑菇小队日用百货创意小商品,浙江
13,巴拉克拉法帽子男士头套秋冬复古黑色毛线针织冷帽防风护脸面罩女,24.80元,2万+人收货,krzt旗舰店,浙江
14,帽子女2023新款冬季保暖毛线帽大头围显脸小宽松护耳针织帽韩版潮,35.00元,2万+人收货,卡菲翔旗舰店,浙江
15,儿童帽子围巾手套三件套冬季加绒加厚女童一体帽男宝宝防风帽亲子,35.80元,2万+人收货,京琐记旗舰店,浙江
16,小熊帽子围巾一体女秋冬季百搭2023年爆款可爱保暖连帽毛绒三件套,22.80元,2万+人收货,芭朵恋旗舰店,江苏
17,帽子女冬季加绒加厚防风面罩保暖神器电动车骑行男头套棉帽雷锋帽,28.00元,2万+人收货,啄木鸟纳众专卖店,浙江
18,小熊帽子围巾一体女冬保暖可爱毛绒护耳骑车三件套手套围脖冬季,23.00元,2万+人收货,黑眼豆豆zhou,浙江
19,儿童帽子冬季男女童可爱萌护耳帽围巾手套一体帽小熊款宝宝套头帽,35.00元,2万+人收货,赞赞鼠旗舰店,江苏
20,毛线帽子秋冬季女款百搭针织包头显脸小保暖白色毛绒茸冷帽大头围,19.80元,2万+人收货,cgediao旗舰店,浙江
21,帽子男冬防寒针织帽加厚保暖毛线帽棉帽冬季骑行电动车防风护耳罩,13.86元,2万+人收货,艆玡帽士,浙江
22,兔毛醒狮帽子女秋冬可爱保暖毛绒渔夫帽百搭显脸小水桶毛茸茸盆帽,36.00元,2万+人收货,弥潮旗舰店,浙江
23,王嘉尔同款针织帽子男士冬季大头围黑色潮牌毛线帽美式堆堆冷帽女,28.80元,2万+人收货,韩柏雅服饰旗舰店,广东
24,啄木鸟帽子男冬季针织帽潮骑行防寒冷帽护耳加厚保暖加绒棉毛线帽,26.90元,2万+人收货,啄木鸟纳众专卖店,浙江
25,帽子女2023新款冬季帽子围巾一体围脖帽子围巾手套三件套秋冬百搭,29.80元,2万+人收货,奇芳源旗舰店,江苏
26,可爱小熊毛线帽子女冬季2023年爆款毛绒保暖毛毛秋冬大头围针织帽,23.00元,2万+人收货,黑眼豆豆zhou,浙江
27,小熊帽子围巾手套口罩一体三件套女冬季保暖毛绒防风围脖连帽秋冬,29.80元,2万+人收货,慕兰塔旗舰店,江苏
28,2023新款大头围秋冬女款棒球帽加大加深男款帽子显脸小软顶鸭舌帽,10.24元,1万+人收货,天天特卖工厂店,浙江
29,加绒冬天帽子围巾一体女骑电动车防风帽东北冬季防寒针织保暖帽潮,26.00元,1万+人收货,COCMR,浙江
30,森马集团棉致儿童帽子围巾一体秋冬季女童男孩宝宝围脖保暖毛绒加,35.90元,1万+人收货,棉致俏奇专卖店,浙江
31,帽子男冬天防寒针织帽加绒加厚保暖毛线帽棉帽冬季骑行防风冷帽,7.11元,1万+人收货,天天特卖工厂店,浙江
32,可爱加厚毛绒小熊帽子围巾一体女秋冬季韩版保暖护耳帽骑车防寒潮,25.80元,1万+人收货,问香坊,浙江
33,啄木鸟帽子男冬天防寒针织帽加绒加厚保暖毛线帽棉帽骑行防风冷帽,25.90元,1万+人收货,啄木鸟纳众专卖店,浙江
34,2023秋冬新款帽子围巾一体防风帽毛绒护耳保暖可爱萌加厚防护面罩,19.80元,1万+人收货,北宛依旗舰店,浙江
35,小熊帽子女秋冬围巾手套一体连帽冬季围脖保暖可爱毛绒冬天三件套,39.00元,1万+人收货,茜羽裳旗舰店,浙江
36,小熊毛绒帽子围巾一体女款冬季可爱秋冬款手套三件套保暖2023新款,39.00元,1万+人收货,怡情花旗舰店,浙江
37,儿童帽子围巾手套三件套冬季加绒加厚女童一体帽男大童保暖防风帽,35.80元,1万+人收货,童普哆旗舰店,浙江
38,兔毛针织毛绒帽女2023秋冬季新款毛茸茸醒狮渔夫帽显脸小毛线帽子,25.00元,1万+人收货,问香坊,浙江
39,赵露思同款帽子女秋冬渔夫帽大头围大脸适合加厚保暖羊羔毛鸭舌帽,24.80元,1万+人收货,雾敦堡旗舰店,浙江
40,毛绒小熊帽子围巾女秋冬骑车儿童保暖护耳2023新款冬季围脖一体帽,35.00元,1万+人收货,松蔻旗舰店,浙江
41,李宁帽子男冬季针织帽男款跑步加绒防寒护耳保暖大头围毛线帽男士,48.00元,1万+人收货,李宁利都全时专卖店,浙江
42,小熊帽子冬天可爱围巾手套一体冬季围脖连帽女口罩保暖秋冬三件套,32.00元,1万+人收货,米舒熊旗舰店,江苏
43,李宁官方帽子男冬男士保暖防寒毛线帽针织帽瓜皮雅痞帽冬天冬季秋,35.00元,1万+人收货,李宁利都全时专卖店,浙江
44,真兔毛针织帽子女秋冬新款大头围护耳毛线帽宽松加厚保暖渔夫盆帽,45.00元,1万+人收货,卡菲翔旗舰店,浙江
45,含羊毛秋冬毛线堆堆帽大头围百搭休闲冷帽保暖帽子情侣护耳针织帽,24.80元,1万+人收货,黑眼豆豆zhou,浙江
46,小熊帽子女冬季可爱百搭保暖毛绒帽手套连帽围脖围巾一体三件套潮,39.00元,1万+人收货,岚影旗舰店,江苏
47,针织毛线帽子围巾一体女冬季加绒加厚保暖护耳中老年人帽2023新款,28.00元,1万+人收货,针茵旗舰店,浙江
48,帽子女冬季新款加绒渔夫帽保暖棉帽防风护耳雷锋帽女秋冬毛绒盆帽,27.80元,1万+人收货,慕艳雪旗舰店,浙江
49,2023新款小熊耳朵毛绒帽子围巾一体女冬季骑行加厚保暖护耳三件套,29.80元,1万+人收货,少女之家旗舰店,浙江
50,帽子男士冬季大头围针织帽男保暖毛线帽潮冬天堆堆帽男款冷帽棉帽,38.00元,1万+人收货,春虫虫旗舰店,浙江
51,大头围帽子冬款女堆堆毛线帽可爱显脸小冷帽百搭米色宽松粗针织帽,11.76元,1万+人收货,淘工厂特卖店,北京
52,宝宝帽子围巾一体护脖帽秋冬季儿童可爱男孩男童女保暖围脖护耳帽,25.80元,1万+人收货,金顶冠旗舰店,浙江
53,可爱帕恰狗毛绒连帽围脖女冬季款保暖冬天手套帽子围巾一体三件套,28.80元,1万+人收货,hanchao韩巢旗舰店,浙江
54,小熊帽子韩版可爱女百搭秋冬季冬天围巾一体保暖手套围脖三件套潮,45.00元,1万+人收货,艾佳微旗舰店,浙江
55,围巾帽子一体秋冬季保暖毛绒加厚仿兔毛可爱护耳帽子2023年新款女,19.90元,1万+人收货,狄诗缇旗舰店,江苏
56,帽子秋冬季男女毛线帽骑车保暖神器针织头套防风面罩围巾一体护耳,3.90元,1万+人收货,俏俏家居精品日用百货小商品,浙江
57,男士帽子冬季青年保暖加厚针织毛线帽韩版潮加绒秋冬棉帽防寒套头,9.50元,1万+人收货,时尚帽子小铺,浙江
58,帽子男士冬季中老年人爸爸保暖棒球帽老人爷爷秋冬天护耳老头棉帽,29.90元,1万+人收货,冰古旗舰店,浙江
59,帽子男士秋冬潮毛线帽男款保暖百搭冷帽宽松大头围显脸小针织帽女,12.58元,1万+人收货,天天特卖工厂店,浙江
60,黑色贝雷帽女2023秋冬季新款日系大头围显脸小八角帽画家帽子,14.50元,1万+人收货,问香坊,浙江
61,秋冬保暖字母针织帽子男防寒嘻哈护耳毛线帽时尚百搭包头冷帽潮流,27.80元,1万+人收货,织语秀旗舰店,浙江
62,儿童帽子宝宝围巾一体秋冬季可爱超萌帽男女童加厚保暖婴儿护耳帽,25.80元,1万+人收货,金顶冠旗舰店,浙江
63,冬季帽子女保暖防寒毛线帽针织帽秋冬韩版百搭骑车冬天月子帽时尚,6.98元,1万+人收货,百兰诗旗舰店,浙江
64,帽子男士冬季保暖加厚护耳老人帽子男冬天中老年人爸爸针织毛线帽,12.55元,1万+人收货,天天特卖工厂店,浙江
65,帽子男2023新款冬季骑行防风保暖护耳套头棉帽加绒加厚防寒雷锋帽,39.90元,1万+人收货,啄木鸟纳众专卖店,浙江
66,花花公子男士帽子加绒加厚冬季毛线帽青年百搭防寒护耳套头针织帽,9.80元,1万+人收货,花前月下服饰特卖,浙江
67,棒球帽男女2023新款帽子深顶宽帽檐大头围鸭舌帽显脸小帽子,9.60元,1万+人收货,问香坊,浙江
68,儿童帽子秋冬季男女童户外骑行防风面罩护耳套头帽宝宝围巾一体帽,34.70元,1万+人收货,布丁新语旗舰店,浙江
69,稻草人帽子男士冬季保暖加绒加厚护耳骑车毛线防寒新款针织包头帽,29.90元,1万+人收货,稻草人服饰配件旗舰店,浙江
70,【今日下单 买一送一送围脖】秋冬季女保暖加厚松鼠绒堆堆帽时尚,19.99元,1万+人收货,金豆子大百货,河北
71,帽子男冬季护耳帽骑行保暖冷帽大头围毛线帽男包头加绒针织帽男士,24.00元,1万+人收货,贝纳登旗舰店,浙江
72,户外男士帽子秋冬季帽男包头帽毛线帽潮牌冬天骑车加厚保暖针织帽,9.90元,1万+人收货,尊沁户外专营店,浙江
73,2023新款帽子男士秋冬季保暖毛线帽女护耳加厚百搭黑色针织冷帽潮,32.00元,1万+人收货,莱艳宛旗舰店,广东
74,可爱毛绒小熊护耳帽子女冬季加厚加绒口罩围巾一体骑车保暖雷锋帽,25.80元,1万+人收货,黑眼豆豆zhou,浙江
75,冬季加绒毛线帽加厚保暖东北针织帽女大头围护耳毛球帽子白色球帽,8.90元,1万+人收货,倪倪儿,浙江
76,小熊耳朵帽子围巾一体女冬季韩版卡通可爱毛绒保暖围脖手套三件套,21.00元,1万+人收货,问香坊,浙江
77,婴儿帽子秋冬款纯棉新生婴幼儿护卤门帽初生宝宝0到3个月冬季胎帽,17.90元,1万+人收货,爱贝迪拉旗舰店,江苏
78,帽子女童男童冬季保暖可爱会动兔耳朵帽儿童成人亲子围巾手套一体,37.00元,1万+人收货,汀莱岚旗舰店,江苏
79,富柜网红堆堆帽女秋冬季产后月子帽百搭显脸小针织毛线包头冷帽子,9.66元,1万+人收货,富柜旗舰店,浙江
80,儿童帽子女孩秋冬款兔耳朵会动围巾一体女童宝宝围脖可爱男童冬季,35.00元,1万+人收货,小贝童品kids,浙江
81,加大头围鱼夫女帽兔毛渔夫帽毛茸茸帽子秋冬显脸小白色毛绒水桶帽,39.00元,1万+人收货,大頭星球 BIGHAT,浙江
82,加绒针织帽子女冬天加厚保暖骑车防寒护耳帽韩版字母百搭毛线帽男,25.80元,1万+人收货,MAOCO轻奢韩风帽饰,浙江
83,针织帽子男士冬季潮牌大头围包头冷帽韩版百搭保暖毛线帽女显脸小,27.90元,1万+人收货,兰惠园旗舰店,广东
84,帽子女2023新款冬季毛绒渔夫帽加厚保暖防风护耳雷锋帽东北显脸小,32.00元,1万+人收货,卡菲翔旗舰店,浙江
85,大头围毛线帽子女冬2023新款日系保暖护耳冷帽堆堆帽显脸小针织帽,33.00元,1万+人收货,卡菲翔旗舰店,浙江
86,围巾帽子一体秋冬季保暖毛绒加厚仿兔毛可爱护耳帽子2023年爆款女,22.90元,1万+人收货,好麦服饰配件,江苏
87,儿童星黛露帽子围巾一体2023新款秋冬季毛绒手套围脖冬款女童女孩,25.80元,1万+人收货,奇奇鱼旗舰店,浙江
88,毛绒蒙古帽子女秋冬防寒白色保暖东北盆帽护耳帽狐狸毛渔夫帽毛毛,19.90元,1万+人收货,DouDou皮草店,河北
89,[THE HOBOO] 原创小山标毛线帽女秋冬针织包头帽男日系保暖冷帽子,39.00元,1万+人收货,THE HOBOO,广东
90,儿童帽子围巾一体秋冬季耳朵会动男童宝宝三件套手套女童围脖护耳,35.00元,1万+人收货,小贝童品kids,浙江
91,帽子女款2023新款秋冬季孕妇产后月子帽可爱女士加绒保暖堆堆冷帽,11.60元,1万+人收货,天天特卖工厂店,浙江
92,帽子女秋冬季羊羔毛渔夫帽黑色素颜显脸小水桶帽大脸保暖毛绒盆帽,32.00元,1万+人收货,慕艳雪旗舰店,浙江
93,帽子男冬天防风面罩骑行围脖防寒加绒厚头套保暖神器护颈椎脖套女,16.80元,1万+人收货,意制旗舰店,广东
94,纯色毛绒帽子围巾手套一体女秋冬季百搭加厚保暖骑车防寒护耳连帽,39.90元,1万+人收货,惟嫒旗舰店,浙江
95,中老年人帽子女保暖秋冬天妈妈兔毛线加绒厚帽奶奶针织帽围巾棉帽,8.74元,1万+人收货,天天特卖工厂店,浙江
96,花花公子新夏季男女棒球帽春夏季休闲海边户外防晒遮阳太阳鸭舌帽,8.90元,1万+人收货,PRADA优品,江苏
97,【我的头不圆】赫本风澳毛渔夫帽子秋冬款法式复古小香风优雅礼帽,89.00元,1万+人收货,我的头不圆,浙江
98,帽子女冬季可爱小熊毛绒护耳帽2023新款加绒加厚保暖显脸小雷锋帽,29.90元,1万+人收货,啄木鸟纳众专卖店,浙江
